a a
o o
e 7
i i
u u
v y
ai aI
ei ei
ao AU
ou @U
an a_n
en @_n
ang AN
er @`
er @`
qiu ts\_h i@U
qian ts\_h iE_n
qin ts\_h i_n
quan ts\_h y{_n
qun ts\_h y_n
qiang ts\_h iAN
qing ts\_h iN
qiong ts\_h iUN
xi s i
xu s y
xia s ia
xie s iE_r
xue s yE_r
xiao s iAU
xiu s i@U
xian s iE_n
xin s i_n
xuan s y{_n
xun s y_n
xiang s iAN
xing s iN
xiong s iUN
yi i
yu y
ya ia
ye iE_r
yue yE_r
yao iAU
you i@U
yan iE_n
yin i_n
yuan y{_n
yun y_n
yang iAN
ying iN
yong iUN
i i
v y
in i_n
vn y_n
ing iN
yo a
za ts a
ze ts 7
zi ts i\
zu ts u
zai ts aI
zei ts ei
zao ts AU
zou ts @U
zuo ts uo
zui ts uei
zan ts a_n
zen ts @_n
zuan ts ua_n
zun ts u@_n
zang ts AN
zeng ts @N
zong ts UN
ca ts_h a
ce ts_h 7
ci ts_h i\
cu ts_h u
cai ts_h aI
cao ts_h AU
cou ts_h @U
cuo ts_h uo
cui ts_h uei
can ts_h a_n
cen ts_h @_n
cuan ts_h ua_n
cun ts_h u@_n
cang ts_h AN
ceng ts_h @N
cong ts_h UN
sa s a
se s 7
si s i\
su s u
sai s aI
sao s AU
sou s @U
suo s uo
sui s uei
san s a_n
sen s @_n
suan s ua_n
sun s u@_n
sang s AN
seng s @N
song s UN
zha ts` a
zhe ts` 7
zhi ts` i`
zhu ts` u
zhai ts` aI
zhei ts` ei
zhao ts` AU
zhou ts` @U
zhan ts` a_n
zhen ts` @_n
zhua ts` ua
zhuo ts` uo
zhuai ts` uaI
zhui ts` uei
zhuan ts` ua_n
zhun ts` u@_n
zhang ts` AN
zheng ts` @N
zhuang ts` uAN
zhong ts` UN
cha ts`_h a
che ts`_h 7
chi ts`_h i`
chu ts`_h u
chai ts`_h aI
chao ts`_h AU
chou ts`_h @U
chan ts`_h a_n
chen ts`_h @_n
chuo ts`_h uo
chuai ts`_h uaI
chui ts`_h uei
chuan ts`_h ua_n
chun ts`_h u@_n
chang ts`_h AN
cheng ts`_h @N
chuang ts`_h uAN
chong ts`_h UN
sha s` a
she s` 7
shi s` i`
shu s` u
shai s` aI
shei s` ei
shao s` AU
shou s` @U
shan s` a_n
shen s` @_n
shua s` ua
shuo s` uo
shuai s` uaI
shui s` uei
shuan s` ua_n
shun s` u@_n
shang s` AN
sheng s` @N
shuang s` uAN
re z` 7
ri z` i`
ru z` u
rao z` AU
rou z` @U
ran z` a_n
ren z` @_n
ruo z` uo
rui z` uei
ruan z` ua_n
run z` u@_n
rang z` AN
reng z` @N
rong z` UN
